ID,SITE,TYPE_,Dominant Raw Material,CODLITO,COMP_LIT,PER_GEOL,DESIGNA,Background
44,Salto do Boi,Open air,NA,25,FORM. SEDIMENTARES E METAMÓRFICAS,DO CÂMBRICO AO PRÉ-CÂMBRICO,"Xistos, grauvaques (Complexo xisto-grauváquico)",Other
45,Santa Cita,Open air,Mix,1,FORM. SEDIMENTARES,HOLOCÉNICO,Aluviões,Other
46,Santo Antão do Tojal,Open air,Chert,10,FORM. SEDIMENTARES,PALEOGÉNICO,"Conglomerados, arenitos, calcários brancos, margas avermelhadas",Carbonate
47,Sapateiros 2,Open air,Quartzite,311,ROCHAS ERUPTIVAS PLUTÔNICAS, ,Quartzodioritos,Other
48,Tapada do Montinho,Open air,Quartzite,7,FORM. SEDIMENTARES,PLIO-PLISTOCÉNICO,"Areias, calhaus rolados, arenitos pouco consolidados, argilas",Other
49,Vale da Porta,Open air,NA,14,FORM. SEDIMENTARES,JURÁSSICO,"Calcários, calcários dolomíticos, calcários margosos, margas",Carbonate
50,Vale do Forno 8,Open air,Quartzite,4,FORM. SEDIMENTARES,PLISTOCÉNICO,Areias e cascalheiras,Other
51,Vale do Pardo I,Open air,NA,10,FORM. SEDIMENTARES,PALEOGÉNICO,"Conglomerados, arenitos, calcários brancos, margas avermelhadas",Carbonate
52,Vale Santo,Open air,Chert,4,FORM. SEDIMENTARES,PLISTOCÉNICO,Areias e cascalheiras,Other
53,Vilas Ruivas,Open air,Quartzite,7,FORM. SEDIMENTARES,PLIO-PLISTOCÉNICO,"Areias, calhaus rolados, arenitos pouco consolidados, argilas",Other
54,Vinhas,Open air,Quartzite,22,FORM. SEDIMENTARES E METAMÓRFICAS,SILÚRICO E ORDOVÍCICO,"Xistos, grauvaques",Other
