OBJECTID_1 *,OID_1,Order,Distance
691,772,3,3972.981794
692,1054,2,2121.913585
693,1017,3,4340.976391
694,641,3,783.632356
695,755,2,4334.41044
696,845,2,1704.39225
697,697,2,5872.720747
698,645,2,2478.73376
699,651,2,814.290262
700,847,3,1758.41288
701,571,2,2641.031093
702,626,2,2909.803974
703,661,2,4871.412936
704,712,2,1208.882046
705,1096,2,941.652847
706,908,2,83.368299
707,998,2,258.532163
708,666,2,2808.266377
709,1003,2,601.801021
710,1038,2,1526.340436
711,610,2,69.02118
712,1127,2,1223.126409
713,795,3,110.824334
714,1001,3,3408.186225
715,971,4,138.166529
716,1024,2,4223.418684
717,832,2,822.753933
718,1122,2,1639.644505
719,1106,4,2319.57757
720,797,2,5634.500951
721,927,4,632.707725
722,633,3,1085.93382
723,841,3,590.830168
724,903,2,2876.111924
725,837,2,2805.977994
726,1100,2,69.238907
727,888,3,84.706364
728,902,2,1321.546918
729,970,2,2634.663081
730,1078,4,4459.071003
731,1121,4,2431.777415
732,590,2,323.009595
733,954,2,889.103328
734,1029,3,2535.661415
735,791,2,1794.681044
736,758,2,6597.913581
737,910,2,3814.930052
738,1097,2,4059.786804
739,1099,2,3408.679141
740,1026,2,1717.364291
741,1073,3,604.19125
742,1088,3,657.993732
743,1103,2,3615.675287
744,756,3,932.361249
745,778,2,1152.317555
746,811,2,2712.050352
747,899,3,627.135591
748,1112,4,3151.269778
749,924,2,2312.261519
750,1014,2,2280.655159
751,1066,2,2865.435252
752,920,2,598.55361
753,615,2,2931.827287
754,775,2,1549.985322
755,747,2,2036.724914
756,668,2,2129.339903
757,978,2,744.668403
758,813,2,1120.788415
759,838,2,519.307855
760,586,2,1137.806349
761,1046,2,1924.865267
762,628,2,4871.60244
763,843,2,6332.194166
764,840,2,1755.795331
765,997,2,2517.230515
766,616,2,1879.077238
767,1118,2,1077.490552
768,858,2,1501.290179
769,1022,2,2439.639488
770,687,3,569.555831
771,922,3,3117.884326
772,581,2,494.84171
773,1042,2,126.556857
774,770,5,1612.01816
775,901,5,154.122437
776,886,2,506.638995
777,684,3,1555.236808
778,748,3,915.423359
779,943,5,713.50425
780,675,3,187.168324
781,789,3,1722.593654
782,950,2,2573.546002
783,1053,3,1108.308989
784,816,2,14.623112
785,882,2,1268.675568
786,1065,2,3437.044854
787,1109,5,4903.879059
788,702,2,3334.51924
789,868,2,1381.04839
790,730,2,2278.234969
791,1006,2,2070.267092
792,739,4,2452.21407
793,1087,4,3584.131562
794,880,4,6910.245266
795,608,2,3572.349453
796,893,2,5509.438958
797,1013,2,3723.684468
798,994,2,133.047284
799,662,2,1280.502841
800,947,2,870.925906
801,1091,2,2362.680972
802,912,4,612.671808
803,867,3,781.627855
804,654,5,1782.987283
805,574,2,2750.152216
806,735,2,2934.3932
807,669,3,1143.6466
808,612,3,2013.338077
809,876,4,1529.695197
810,850,5,5143.167869
811,823,4,3369.042636
812,855,2,1411.759018
813,798,2,2727.927508
814,973,2,817.814159
815,851,5,400.147615
816,1101,5,3134.124485
817,1037,3,1736.063469
818,676,2,1863.683819
819,683,4,3469.826032
820,883,2,3852.210852
821,919,2,732.708262
822,738,3,861.194726
823,815,3,700.302823
824,885,2,2560.115119
825,614,2,295.893211
826,999,3,837.782719
827,873,2,2565.09223
828,1010,5,1279.190495
829,667,2,1867.192488
830,652,2,905.965396
831,1085,2,1851.328314
832,718,2,912.017925
833,846,2,2617.362173
834,710,4,233.851308
835,593,2,1666.851609
836,937,2,26.03183
837,1125,2,974.501198
838,917,2,2372.571625
839,991,2,4438.582966
840,732,5,1981.490845
841,709,2,4659.07494
842,809,4,6234.286988
843,1015,2,2701.480824
844,935,4,2664.051711
845,660,3,1795.8381
846,804,3,1974.765977
847,783,3,356.231936
848,975,2,670.960654
849,648,2,590.075344
850,796,5,2292.856274
851,587,2,2527.660883
852,977,2,1266.795162
853,1023,3,2302.171214
854,818,2,3227.920333
855,828,2,2833.049601
856,715,2,1591.613541
857,960,3,48.174124
858,644,2,2357.393725
859,665,2,2278.200412
860,618,2,3078.660148
861,625,3,2518.60462
862,1113,2,5222.119282
863,729,2,2886.708504
864,940,3,1948.016259
865,939,2,2822.702794
866,1039,2,3126.072415
867,1076,4,1608.822415
868,585,3,737.191939
869,949,2,1709.828916
870,1114,2,234.257108
871,656,2,3387.59947
872,579,3,1802.319498
873,802,6,1492.760313
874,604,2,956.151031
875,969,2,5639.813697
876,746,2,3290.545713
877,767,2,2754.372894
878,931,2,1559.00335
879,959,3,3549.619989
880,584,2,2771.026531
881,875,2,1309.738933
882,674,2,609.931439
883,762,3,60.415051
884,1012,2,9.161611
885,819,2,2741.068717
886,619,2,2492.505627
887,907,2,1512.589484
888,1035,2,2522.784742
889,721,3,4596.675537
890,906,2,3801.455629
891,611,2,2252.608098
892,898,3,648.121279
893,864,2,321.552174
894,1061,2,1323.578169
895,706,3,432.938507
896,716,3,967.84924
897,703,4,291.458077
898,717,2,1160.392293
899,1036,2,1584.409936
900,606,2,3239.557732
901,890,2,3524.599038
902,1027,2,2592.547296
903,724,2,4328.385037
904,951,2,2006.866183
905,592,2,3017.036439
906,583,2,3433.863714
907,1086,2,1734.837829
908,636,2,3289.3299
909,682,3,3831.322079
910,1000,2,2967.443619
911,689,3,1539.364691
912,727,2,1529.748248
913,728,2,7501.05799
914,741,2,3129.93307
915,988,2,4350.154373
916,860,2,3784.913954
917,1080,3,561.238357
918,740,2,5429.016425
919,861,2,3206.520657
920,745,3,467.922413
921,946,2,4035.85123
922,578,2,3842.339816
923,788,2,2333.818873
924,1082,2,2088.434696
925,573,2,3513.6269
926,1123,3,2758.534579
927,663,2,2769.150762
928,749,2,2678.673738
929,958,2,4479.722146
930,842,4,120.559489
931,786,6,630.338344
932,1074,5,158.891096
933,638,2,1800.432867
934,928,5,790.63766
935,1060,2,217.759806
936,627,2,1544.642448
937,678,2,511.335383
938,722,5,4095.047885
939,933,2,903.936471
940,930,3,255.249792
941,932,5,1509.551225
942,617,2,938.953843
943,692,2,869.27497
944,639,2,1257.290645
945,693,2,1231.545607
946,630,5,3496.931269
947,866,2,3047.929099
948,1044,2,285.620387
949,1107,2,6070.667381
950,854,2,3009.999773
951,623,2,1743.248111
952,962,2,1505.513838
953,705,3,187.034456
954,793,2,2255.296763
955,634,2,196.562398
956,595,2,195.250177
957,849,2,2391.013613
958,599,2,189.957721
959,686,2,4225.780304
960,1064,2,1736.012757
961,817,3,696.138286
962,985,3,1328.445436
963,824,2,5448.383162
964,714,3,2712.744921
965,814,2,782.154173
966,701,2,1435.756838
967,696,3,5393.295156
968,972,2,1219.395266
969,605,2,2226.687468
970,591,2,6176.346388
971,896,2,642.964968
972,825,2,367.882982
973,1098,2,32.155559
974,852,2,5946.137201
975,1020,2,969.89618
976,1068,3,36.401154
977,839,2,3523.23911
978,1062,3,4609.868241
979,1007,2,5285.290606
980,801,2,1038.074816
981,822,2,1619.718766
982,925,3,4166.894621
983,776,2,3371.263043
984,830,2,1625.855853
985,936,2,1784.936789
986,670,2,2028.966785
987,982,2,2057.135239
988,820,2,1589.918511
989,986,2,613.485089
990,984,2,3360.630806
991,777,2,2890.069939
992,750,3,275.958747
993,580,2,4211.795279
994,1126,3,662.666462
995,643,2,1648.025755
996,1116,2,740.562162
997,582,3,4282.5507
998,761,3,2304.685104
999,1095,5,472.233505
1000,989,2,1673.573028
1001,1104,2,3900.887247
1002,955,5,955.625628
1003,753,2,308.458095
1004,856,4,1180.504501
1005,891,2,3936.6107
1006,704,4,2979.580807
1007,572,2,2652.965111
1008,881,2,6296.638583
1009,1111,2,2551.039106
1010,1067,2,4550.680228
1011,677,3,1340.430343
1012,884,2,2286.825398
1013,857,4,1174.943818
1014,655,2,620.833385
1015,737,2,1780.854456
1016,688,2,611.161565
1017,733,5,1471.679048
1018,976,2,3763.33358
1019,918,5,3346.812693
1020,713,2,861.697035
1021,635,2,2719.179068
1022,607,4,1255.786525
1023,966,3,984.600875
1024,602,3,380.64883
1025,637,2,3782.936381
1026,859,2,691.793462
1027,594,2,2313.565853
1028,650,2,3218.442602
1029,938,3,659.280897
1030,829,2,5705.508134
1031,835,2,3373.685801
1032,872,2,2075.932217
1033,1055,2,2006.330643
1034,672,2,1415.482575
1035,990,2,2996.183727
1036,979,7,1202.825679
1037,707,4,430.929979
1038,743,2,2824.718817
1039,1009,2,4454.077234
1040,892,4,121.250629
1041,1075,2,1270.511533
1042,799,2,3060.228009
1043,771,4,432.512179
1044,679,2,1625.039931
1045,897,2,3112.507553
1046,1052,7,3118.818213
1047,942,3,308.40252
1048,751,2,3653.80161
1049,967,2,703.949535
1050,1043,2,574.752685
1051,708,2,1222.566425
1052,754,3,3583.568913
1053,577,2,157.075429
1054,773,2,3450.4835
1055,699,2,122.76465
1056,1059,2,1732.013572
1057,1092,2,54.046964
1058,1002,2,58.201783
1059,983,2,1032.247657
1060,827,2,3859.038107
1061,974,2,1728.343351
1062,622,2,5642.736076
1063,653,2,4681.541842
1064,681,3,1115.70192
1065,1008,2,2012.584412
1066,1115,2,2677.763744
1067,961,2,1074.219404
1068,1040,2,2212.1982
1069,589,2,4426.179682
1070,964,2,48.84837
1071,1057,2,1475.514631
1072,1072,2,123.830097
1073,646,2,4343.410841
1074,987,2,3310.387545
1075,894,2,1839.24371
1076,1005,2,1648.088282
1077,980,2,803.250631
1078,711,2,1360.898992
1079,731,2,385.971739
1080,1004,2,2417.479701
1081,632,2,546.027142
1082,598,3,3487.01005
1083,664,7,673.900291
1084,596,2,2234.195615
1085,1016,2,978.6664
1086,909,2,1188.926111
1087,853,2,3673.355356
1088,765,2,265.534892
1089,913,3,2609.04464
1090,1079,3,336.074852
1091,810,3,3716.869218
1092,848,2,1321.143541
1093,1124,2,55.726658
1094,1102,3,4370.696882
1095,923,2,2475.608637
1096,764,3,2298.694063
1097,844,2,1001.763641
1098,700,3,1983.192337
1099,787,2,301.973985
1100,790,2,2421.213376
1101,601,2,1896.710466
1102,981,2,3317.923916
1103,1077,2,1867.535207
1104,963,2,6036.05033
1105,769,2,2592.21932
1106,780,3,907.783999
1107,863,2,3776.376904
1108,1048,2,1889.794668
1109,904,2,5271.447947
1110,812,2,40.907525
1111,671,2,4769.258886
1112,694,3,2959.676268
1113,803,3,3488.960006
1114,794,2,1768.435629
1115,575,3,1605.820403
1116,1083,2,307.77609
1117,941,2,2917.174603
1118,957,3,1266.47174
1119,642,2,4797.366714
1120,1018,2,73.554714
1121,800,2,550.380664
1122,862,3,1545.529846
1123,1119,2,1151.943397
1124,1069,2,2014.034418
1125,916,3,903.119515
1126,766,2,3546.60585
1127,915,2,2093.267675
1128,1323,6,2285.007499
1129,1325,2,371.956562
1130,1649,2,3562.624284
1131,1661,2,1313.43531
1132,1246,2,1424.346418
1133,1282,2,3817.459541
1134,1479,2,2257.749236
1135,1185,2,3452.612638
1136,1377,2,2172.832321
1137,1406,2,3643.270674
1138,1478,2,2425.315986
1139,1227,3,2032.005486
1140,1360,2,110.918635
1141,1399,2,2982.629403
1142,1655,3,1889.019985
1143,1624,2,1141.554381
1144,1596,2,2764.744387
1145,1288,2,3223.100296
1146,1515,3,2971.250802
1147,1679,2,3402.688392
1148,1240,2,4264.910141
1149,1537,2,2849.706324
1150,1569,3,288.924446
1151,1284,2,2645.808534
1152,1264,2,598.529729
1153,1263,4,1114.178042
1154,1456,2,296.833033
1155,1247,2,832.438755
1156,1329,2,3291.684771
1157,1520,2,1498.70232
1158,1197,2,3998.780148
1159,1208,2,1714.445417
1160,1314,2,61.426506
1161,1138,2,2843.788752
1162,1618,2,4186.219856
