Rowid,SITE,ZONE-CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
65,Lapa do Fumo,65,2,1554.589099,214,217,3,215.5,1.5,431,2,214,214,214
66,Gruta das Lapas,66,1,777.294549,56,56,0,56,0,56,1,56,56,56
67,Ibne-Ahmmar,67,1,777.294549,30,30,0,30,0,30,1,30,30,30
68,Grutas do Forte do Cavalo,68,1,777.294549,36,36,0,36,0,36,1,36,36,36
69,Ribeira do Cavalo,69,1,777.294549,82,82,0,82,0,82,1,82,82,82
70,Lapa da Rainha 2,70,2,1554.589099,22,44,22,33,11,66,2,22,22,22
71,Gruta 2 da Portucheira,71,2,1554.589099,54,55,1,54.5,0.5,109,2,54,54,54
72,Rede Cársica da Nascente do Almonda - Gruta da Oliveira,72,1,777.294549,146,146,0,146,0,146,1,146,146,146
73,Gruta do Poço Velho,73,2,1554.589099,13,13,0,13,0,26,1,13,13,13
74,Lapa do Reguengo Pequeno,74,1,777.294549,150,150,0,150,0,150,1,150,150,150
75,Lapa da Rainha 1/ Gruta da Maceira,75,1,777.294549,23,23,0,23,0,23,1,23,23,23
76,Abrigo de Vale do Junco/ Lapa dos Gaivões,76,1,777.294549,374,374,0,374,0,374,1,374,374,374
77,Ponte da Laje,77,2,1554.589099,31,33,2,32,1,64,2,31,31,31
78,Salustreira Menor,78,2,1554.589099,195,200,5,197.5,2.5,395,2,195,195,195
79,Algarão da Goldra,79,1,777.294549,282,282,0,282,0,282,1,282,282,282
80,Gruta dos Bolhos,80,2,1554.589099,105,108,3,106.5,1.5,213,2,105,105,105
81,Casa da Moura,81,1,777.294549,144,144,0,144,0,144,1,144,144,144
82,Columbeira,82,1,777.294549,74,74,0,74,0,74,1,74,74,74
83,Gruta do Caldeirão,83,1,777.294549,116,116,0,116,0,116,1,116,116,116
84,Furninha,84,2,1554.589099,29,29,0,29,0,58,1,29,29,29
85,Mira/Pena,85,2,1554.589099,211,223,12,217,6,434,2,211,211,211
86,Gruta da Avecasta,86,1,777.294549,258,258,0,258,0,258,1,258,258,258
87,Casa do Monge,87,1,777.294549,868,868,0,868,0,868,1,868,868,868
88,Gruta do Caixão,88,2,1554.589099,80,91,11,85.5,5.5,171,2,80,80,80
89,Gruta das Pulgas,89,2,1554.589099,35,40,5,37.5,2.5,75,2,35,35,35
90,Gruta do Carvalhal de Turquel (Algar do Estreito),90,2,1554.589099,179,180,1,179.5,0.5,359,2,179,179,179
91,Cabeço da Ministra Alta,91,2,1554.589099,124,128,4,126,2,252,2,124,124,124
92,Redondas,92,1,777.294549,166,166,0,166,0,166,1,166,166,166
93,Gruta dos Carrascos,93,1,777.294549,361,361,0,361,0,361,1,361,361,361
94,Gruta de Salemas,94,2,1554.589099,233,237,4,235,2,470,2,233,233,233
95,Malgasta,95,1,777.294549,121,121,0,121,0,121,1,121,121,121
96,Gruta 2,96,2,1554.589099,126,127,1,126.5,0.5,253,2,126,126,126
97,Vale de Lobos,97,2,1554.589099,234,241,7,237.5,3.5,475,2,234,234,234
98,Porto Covo,98,2,1554.589099,78,81,3,79.5,1.5,159,2,78,78,78
99,Furadouro,99,1,777.294549,324,324,0,324,0,324,1,324,324,324
100,Milagres/ Gruta da Mata,100,1,777.294549,74,74,0,74,0,74,1,74,74,74
101,Cezareda,101,1,777.294549,151,151,0,151,0,151,1,151,151,151
102,Gruta da Feteira,102,1,777.294549,144,144,0,144,0,144,1,144,144,144
103,Gruta do Ourão,103,2,1554.589099,40,45,5,42.5,2.5,85,2,40,40,40
104,Gruta Principal,104,1,777.294549,130,130,0,130,0,130,1,130,130,130
105,Penedo da Penha,105,2,1554.589099,328,329,1,328.5,0.5,657,2,328,328,328
106,Gruta da Igrejinha dos Soidos,106,1,777.294549,352,352,0,352,0,352,1,352,352,352
107,Algueirão da Mulher Morta,107,2,1554.589099,17,19,2,18,1,36,2,17,17,17
108,Lapa dos Furos,108,2,1554.589099,97,102,5,99.5,2.5,199,2,97,97,97
109,Gruta da Cova da Adiça,109,2,1554.589099,315,319,4,317,2,634,2,315,315,315
110,São Pedro do Estoril (Grutas de),110,1,777.294549,32,32,0,32,0,32,1,32,32,32
111,Gruta de Lagar/Melides,111,2,1554.589099,24,28,4,26,2,52,2,24,24,24
