OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
78,2,1554.589099,127.14669,128.233826,1.087135,127.690258,0.543568,255.380516
79,1,777.294549,308.290161,308.290161,0,308.290161,0,308.290161
80,1,777.294549,225,225,0,225,0,225
81,2,1554.589099,213.690063,243.434952,29.744888,228.562508,14.872444,457.125015
82,1,777.294549,232.69606,232.69606,0,232.69606,0,232.69606
83,2,1554.589099,57.528809,77.471191,19.942383,67.5,9.971191,135
84,2,1554.589099,194.03624,265.601288,71.565048,229.818764,35.782524,459.637527
85,2,1554.589099,326.309937,330.945404,4.635468,328.62767,2.317734,657.255341
86,2,1554.589099,195.57254,203.962494,8.389954,199.767517,4.194977,399.535034
87,2,1554.589099,191.309937,225,33.690063,208.154968,16.845032,416.309937
88,1,777.294549,188.130096,188.130096,0,188.130096,0,188.130096
89,2,1554.589099,330.255127,334.983093,4.727966,332.61911,2.363983,665.23822
90,1,777.294549,18.434948,18.434948,0,18.434948,0,18.434948
91,2,1554.589099,146.534622,148.348724,1.814102,147.441673,0.907051,294.883347
92,2,1554.589099,176.633545,219.289413,42.655869,197.961479,21.327934,395.922958
93,2,1554.589099,68.198593,84.289406,16.090813,76.243999,8.045406,152.487999
94,1,777.294549,343.300751,343.300751,0,343.300751,0,343.300751
95,2,1554.589099,99.637535,114.227745,14.59021,106.93264,7.295105,213.86528
96,2,1554.589099,180,180,0,180,0,360
97,1,777.294549,168.690063,168.690063,0,168.690063,0,168.690063
98,2,1554.589099,156.037506,163.300751,7.263245,159.669128,3.631622,319.338257
99,2,1554.589099,26.56505,35.537678,8.972628,31.051364,4.486314,62.102728
100,2,1554.589099,264.986877,270,5.013123,267.493439,2.506561,534.986877
101,2,1554.589099,273.990906,283.861023,9.870117,278.925964,4.935059,557.851929
102,2,1554.589099,111.801407,120.96376,9.162354,116.382584,4.581177,232.765167
103,2,1554.589099,274.028259,294.253906,20.225647,284.141083,10.112823,568.282166
104,1,777.294549,259.992035,259.992035,0,259.992035,0,259.992035
105,2,1554.589099,11.309932,18.434948,7.125016,14.87244,3.562508,29.74488
106,2,1554.589099,209.744888,288.434937,78.690048,249.089912,39.345024,498.179825
107,2,1554.589099,202.520569,228.012787,25.492218,215.266678,12.746109,430.533356
108,1,777.294549,180,180,0,180,0,180
109,2,1554.589099,319.398712,330.255127,10.856415,324.82692,5.428207,649.653839
110,1,777.294549,56.888657,56.888657,0,56.888657,0,56.888657
111,2,1554.589099,71.565048,74.744881,3.179832,73.154964,1.589916,146.309929
112,2,1554.589099,180,288.434937,108.434937,234.217468,54.217468,468.434937
113,2,1554.589099,291.801422,296.565063,4.763641,294.183243,2.381821,588.366486
114,2,1554.589099,28.300755,49.763641,21.462887,39.032198,10.731443,78.064396
115,2,1554.589099,0,296.565063,296.565063,148.282532,148.282532,296.565063
116,1,777.294549,264.805573,264.805573,0,264.805573,0,264.805573
117,1,777.294549,355.601288,355.601288,0,355.601288,0,355.601288
118,2,1554.589099,118.178589,135,16.821411,126.589294,8.410706,253.178589
119,2,1554.589099,107.241463,109.798874,2.557411,108.520168,1.278706,217.040337
120,2,1554.589099,341.565063,344.475891,2.910828,343.020477,1.455414,686.040955
121,2,1554.589099,196.389542,215.537674,19.148132,205.963608,9.574066,411.927216
122,1,777.294549,64.798874,64.798874,0,64.798874,0,64.798874
