OBJECTID *,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
78,2,1554.589099,201.801407,270,68.198593,235.900703,34.099297,471.801407
79,2,1554.589099,313.315308,328.626984,15.311676,320.971146,7.655838,641.942291
80,2,1554.589099,328.240509,354.289398,26.048889,341.264954,13.024445,682.529907
81,2,1554.589099,186.340195,187.125015,0.784821,186.732605,0.39241,373.46521
82,2,1554.589099,182.385941,189.940567,7.554626,186.163254,3.777313,372.326508
83,2,1554.589099,61.858398,72.407578,10.549179,67.132988,5.27459,134.265976
84,2,1554.589099,193.392502,202.166351,8.773849,197.779427,4.386925,395.558853
85,1,777.294549,43.994915,43.994915,0,43.994915,0,43.994915
86,1,777.294549,329.931427,329.931427,0,329.931427,0,329.931427
87,2,1554.589099,234.462326,239.03624,4.573914,236.749283,2.286957,473.498566
88,2,1554.589099,198.434952,212.905243,14.470291,205.670097,7.235146,411.340195
89,2,1554.589099,100.00798,100.407715,0.399734,100.207848,0.199867,200.415695
90,2,1554.589099,149.03624,186.340195,37.303955,167.688217,18.651978,335.376434
91,2,1554.589099,246.801407,283.671295,36.869888,265.236351,18.434944,530.472702
92,2,1554.589099,96.709839,100.491478,3.781639,98.600658,1.89082,197.201317
93,2,1554.589099,330.945404,338.198578,7.253174,334.571991,3.626587,669.143982
94,2,1554.589099,18.434948,336.801422,318.366474,177.618185,159.183237,355.23637
95,2,1554.589099,319.763641,354.805573,35.041931,337.284607,17.520966,674.569214
96,2,1554.589099,0,329.036255,329.036255,164.518127,164.518127,329.036255
97,2,1554.589099,14.036242,45,30.963758,29.518121,15.481879,59.036242
98,1,777.294549,41.820171,41.820171,0,41.820171,0,41.820171
99,2,1554.589099,128.290161,167.005386,38.715225,147.647774,19.357613,295.295547
100,2,1554.589099,262.568604,282.80426,20.235657,272.686432,10.117828,545.372864
101,2,1554.589099,247.442749,248.385223,0.942474,247.913986,0.471237,495.827972
102,1,777.294549,95.906143,95.906143,0,95.906143,0,95.906143
103,1,777.294549,15.255118,15.255118,0,15.255118,0,15.255118
104,2,1554.589099,146.309937,158.198593,11.888657,152.254265,5.944328,304.50853
105,1,777.294549,315,315,0,315,0,315
106,2,1554.589099,236.768295,240.945404,4.177109,238.85685,2.088554,477.713699
107,2,1554.589099,12.528807,71.565048,59.036242,42.046927,29.518121,84.093855
108,2,1554.589099,146.309937,213.690063,67.380127,180,33.690063,360
109,1,777.294549,302.471191,302.471191,0,302.471191,0,302.471191
110,2,1554.589099,138.179825,147.094757,8.914932,142.637291,4.457466,285.274582
111,2,1554.589099,3.990912,350.537689,346.546777,177.264301,173.273388,354.528602
112,2,1554.589099,119.475891,146.309937,26.834045,132.892914,13.417023,265.785828
113,2,1554.589099,99.462326,270,170.537674,184.731163,85.268837,369.462326
114,2,1554.589099,266.185913,273.814087,7.628174,270,3.814087,540
115,1,777.294549,239.03624,239.03624,0,239.03624,0,239.03624
116,2,1554.589099,164.054611,200.556046,36.501434,182.305328,18.250717,364.610657
117,2,1554.589099,108.434952,135,26.565048,121.717476,13.282524,243.434952
118,2,1554.589099,83.853371,88.363426,4.510056,86.108398,2.255028,172.216797
119,2,1554.589099,281.888641,294.863708,12.975067,288.376175,6.487534,576.75235
120,1,777.294549,198.434952,198.434952,0,198.434952,0,198.434952
121,2,1554.589099,99.211029,108.886086,9.675056,104.048557,4.837528,208.097115
122,1,777.294549,288.434937,288.434937,0,288.434937,0,288.434937
123,1,777.294549,280.407715,280.407715,0,280.407715,0,280.407715
124,2,1554.589099,121.293037,130.601288,9.30825,125.947163,4.654125,251.894325
125,1,777.294549,39.289406,39.289406,0,39.289406,0,39.289406
126,1,777.294549,244.179016,244.179016,0,244.179016,0,244.179016
127,2,1554.589099,110.119637,122.660912,12.541275,116.390274,6.270638,232.780548
128,2,1554.589099,139.573929,151.144333,11.570404,145.359131,5.785202,290.718262
129,2,1554.589099,3.814074,45,41.185926,24.407037,20.592963,48.814074
130,2,1554.589099,40.914383,45,4.085617,42.957191,2.042809,85.914383
131,2,1554.589099,73.610458,88.069412,14.458954,80.839935,7.229477,161.679871
132,2,1554.589099,175.601288,225,49.398712,200.300644,24.699356,400.601288
133,1,777.294549,324.637543,324.637543,0,324.637543,0,324.637543
134,2,1554.589099,191.309937,193.240524,1.930588,192.27523,0.965294,384.550461
135,1,777.294549,163.072495,163.072495,0,163.072495,0,163.072495
136,1,777.294549,38.659809,38.659809,0,38.659809,0,38.659809
137,1,777.294549,254.744888,254.744888,0,254.744888,0,254.744888
138,2,1554.589099,248.198593,257.005371,8.806778,252.601982,4.403389,505.203964
139,2,1554.589099,202.380142,215.537674,13.157532,208.958908,6.578766,417.917816
140,2,1554.589099,206.565048,251.565048,45,229.065048,22.5,458.130096
141,2,1554.589099,168.690063,183.012787,14.322723,175.851425,7.161362,351.70285
142,2,1554.589099,90,105.945396,15.945396,97.972698,7.972698,195.945396
143,1,777.294549,108.434952,108.434952,0,108.434952,0,108.434952
144,2,1554.589099,5.792796,23.552263,17.759468,14.672529,8.879734,29.345059
145,2,1554.589099,145.784302,146.309937,0.525635,146.047119,0.262817,292.094238
146,1,777.294549,135,135,0,135,0,135
147,2,1554.589099,45,81.869896,36.869896,63.434948,18.434948,126.869896
148,1,777.294549,233.880661,233.880661,0,233.880661,0,233.880661
149,2,1554.589099,28.300755,43.408859,15.108105,35.854807,7.554052,71.709614
150,2,1554.589099,150.018356,154.57312,4.554764,152.295738,2.277382,304.591476
151,1,777.294549,321.709839,321.709839,0,321.709839,0,321.709839
152,2,1554.589099,0,36.869896,36.869896,18.434948,18.434948,36.869896
153,2,1554.589099,198.434952,243.434952,45,220.934952,22.5,441.869904
154,2,1554.589099,71.565048,326.309937,254.744888,198.937492,127.372444,397.874985
155,2,1554.589099,287.744659,310.914368,23.169708,299.329514,11.584854,598.659027
156,2,1554.589099,146.309937,174.805573,28.495636,160.557755,14.247818,321.115509
157,2,1554.589099,326.76828,328.339233,1.570953,327.553757,0.785477,655.107513
158,1,777.294549,76.429565,76.429565,0,76.429565,0,76.429565
159,2,1554.589099,126.869896,143.530762,16.660866,135.200329,8.330433,270.400658
160,1,777.294549,71.565048,71.565048,0,71.565048,0,71.565048
161,2,1554.589099,18.434948,80.537674,62.102726,49.486311,31.051363,98.972622
162,2,1554.589099,3.36646,348.690063,345.323604,176.028262,172.661802,352.056523
163,1,777.294549,233.530762,233.530762,0,233.530762,0,233.530762
164,2,1554.589099,112.963776,114.145546,1.18177,113.554661,0.590885,227.109322
165,2,1554.589099,175.971741,183.814072,7.842331,179.892906,3.921165,359.785812
166,1,777.294549,247.380142,247.380142,0,247.380142,0,247.380142
167,2,1554.589099,62.10273,65.556046,3.453316,63.829388,1.726658,127.658775
168,1,777.294549,56.309933,56.309933,0,56.309933,0,56.309933
169,2,1554.589099,130.236359,144.462326,14.225967,137.349342,7.112984,274.698685
170,1,777.294549,113.552261,113.552261,0,113.552261,0,113.552261
171,2,1554.589099,130.236359,150.945389,20.70903,140.590874,10.354515,281.181747
172,2,1554.589099,288.434937,296.565063,8.130127,292.5,4.065063,585
173,2,1554.589099,303.690063,326.309937,22.619873,315,11.309937,630
174,2,1554.589099,315,318.094055,3.094055,316.547028,1.547028,633.094055
175,2,1554.589099,290.55603,290.55603,0,290.55603,0,581.112061
176,2,1554.589099,278.130096,288.434937,10.30484,283.282516,5.15242,566.565033
177,2,1554.589099,315,347.005371,32.005371,331.002686,16.002686,662.005371
178,2,1554.589099,70.016891,78.690071,8.67318,74.353481,4.33659,148.706963
179,2,1554.589099,255.96376,296.565063,40.601303,276.264412,20.300652,552.528824
180,1,777.294549,254.054611,254.054611,0,254.054611,0,254.054611
181,2,1554.589099,140.599335,146.633636,6.034302,143.616486,3.017151,287.232971
182,2,1554.589099,26.896236,26.916553,0.020317,26.906395,0.010159,53.81279
183,2,1554.589099,349.380341,357.357452,7.977112,353.368896,3.988556,706.737793
184,1,777.294549,180,180,0,180,0,180
185,1,777.294549,143.130096,143.130096,0,143.130096,0,143.130096
186,2,1554.589099,258.690063,282.528809,23.838745,270.609436,11.919373,541.218872
187,1,777.294549,19.983107,19.983107,0,19.983107,0,19.983107
188,1,777.294549,270,270,0,270,0,270
189,2,1554.589099,0,270,270,135,135,270
190,1,777.294549,175.872406,175.872406,0,175.872406,0,175.872406
191,2,1554.589099,0,348.690063,348.690063,174.345032,174.345032,348.690063
192,2,1554.589099,291.801422,341.565063,49.763641,316.683243,24.881821,633.366486
193,1,777.294549,273.814087,273.814087,0,273.814087,0,273.814087
194,1,777.294549,135,135,0,135,0,135
195,2,1554.589099,295.709961,302.471191,6.76123,299.090576,3.380615,598.181152
196,2,1554.589099,201.801407,217.874985,16.073578,209.838196,8.036789,419.676392
197,2,1554.589099,157.619873,180,22.380127,168.809937,11.190063,337.619873
198,1,777.294549,349.992004,349.992004,0,349.992004,0,349.992004
199,2,1554.589099,180,180,0,180,0,360
200,1,777.294549,138.990921,138.990921,0,138.990921,0,138.990921
201,1,777.294549,289.025604,289.025604,0,289.025604,0,289.025604
202,1,777.294549,90,90,0,90,0,90
203,1,777.294549,328.240509,328.240509,0,328.240509,0,328.240509
204,1,777.294549,219.122604,219.122604,0,219.122604,0,219.122604
205,1,777.294549,107.818886,107.818886,0,107.818886,0,107.818886
206,1,777.294549,19.358994,19.358994,0,19.358994,0,19.358994
207,2,1554.589099,218.480194,218.659805,0.179611,218.57,0.089806,437.139999
208,1,777.294549,344.357758,344.357758,0,344.357758,0,344.357758
209,1,777.294549,156.801407,156.801407,0,156.801407,0,156.801407
210,1,777.294549,20.556046,20.556046,0,20.556046,0,20.556046
211,1,777.294549,240.255127,240.255127,0,240.255127,0,240.255127
212,2,1554.589099,18.434948,40.236359,21.801411,29.335653,10.900705,58.671307
213,1,777.294549,142.765167,142.765167,0,142.765167,0,142.765167
214,2,1554.589099,189.462326,208.300751,18.838425,198.881538,9.419212,397.763077
215,1,777.294549,55.304848,55.304848,0,55.304848,0,55.304848
216,1,777.294549,311.531769,311.531769,0,311.531769,0,311.531769
217,1,777.294549,115.820992,115.820992,0,115.820992,0,115.820992
218,2,1554.589099,285.439636,292.574127,7.134491,289.006882,3.567245,578.013763
219,1,777.294549,18.434948,18.434948,0,18.434948,0,18.434948
220,1,777.294549,114.443954,114.443954,0,114.443954,0,114.443954
221,1,777.294549,225,225,0,225,0,225
222,2,1554.589099,340.529694,342.645966,2.116272,341.58783,1.058136,683.175659
223,2,1554.589099,54.462322,90,35.537678,72.231161,17.768839,144.462322
224,1,777.294549,30.068583,30.068583,0,30.068583,0,30.068583
225,2,1554.589099,347.005371,358.025055,11.019684,352.515213,5.509842,705.030426
226,2,1554.589099,210.96376,218.480194,7.516434,214.721977,3.758217,429.443954
227,2,1554.589099,335.55603,345.963745,10.407715,340.759888,5.203857,681.519775
228,2,1554.589099,337.833649,346.464142,8.630493,342.148895,4.315247,684.297791
229,1,777.294549,172.806534,172.806534,0,172.806534,0,172.806534
230,2,1554.589099,35.537678,69.443954,33.906277,52.490816,16.953138,104.981632
231,1,777.294549,181.218872,181.218872,0,181.218872,0,181.218872
232,1,777.294549,299.054596,299.054596,0,299.054596,0,299.054596
233,1,777.294549,109.536652,109.536652,0,109.536652,0,109.536652
234,2,1554.589099,293.198578,299.054596,5.856018,296.126587,2.928009,592.253174
235,1,777.294549,59.036243,59.036243,0,59.036243,0,59.036243
236,1,777.294549,343.950989,343.950989,0,343.950989,0,343.950989
237,1,777.294549,167.471191,167.471191,0,167.471191,0,167.471191
238,1,777.294549,188.130096,188.130096,0,188.130096,0,188.130096
239,2,1554.589099,35.340107,43.567902,8.227795,39.454004,4.113897,78.908009
240,2,1554.589099,146.768295,178.02507,31.256775,162.396683,15.628387,324.793365
241,1,777.294549,275.527527,275.527527,0,275.527527,0,275.527527
