OBJECTID_1,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
81,1554.589099,1.148674,1.851784,0.70311,1.500229,0.351555,3.000457
82,777.294549,13.318753,13.318753,0,13.318753,0,13.318753
83,1554.589099,3.345572,4.72599,1.380419,4.035781,0.690209,8.071562
84,1554.589099,3.345572,4.22897,0.883399,3.787271,0.441699,7.574542
85,1554.589099,1.851784,2.642924,0.79114,2.247354,0.39557,4.494707
86,1554.589099,14.839236,15.850077,1.01084,15.344656,0.50542,30.689313
87,1554.589099,3.923451,4.712132,0.788682,4.317792,0.394341,8.635583
88,777.294549,1.815848,1.815848,0,1.815848,0,1.815848
89,1554.589099,8.227297,8.442785,0.215488,8.335041,0.107744,16.670082
90,777.294549,16.580349,16.580349,0,16.580349,0,16.580349
91,1554.589099,17.593548,21.030987,3.437439,19.312267,1.718719,38.624535
92,1554.589099,3.646101,4.366134,0.720032,4.006117,0.360016,8.012235
93,1554.589099,5.149428,5.516378,0.36695,5.332903,0.183475,10.665806
94,777.294549,5.348341,5.348341,0,5.348341,0,5.348341
95,1554.589099,11.125899,13.551372,2.425472,12.338635,1.212736,24.677271
96,1554.589099,1.027432,2.054204,1.026772,1.540818,0.513386,3.081637
97,777.294549,6.521021,6.521021,0,6.521021,0,6.521021
98,1554.589099,10.016806,10.605068,0.588263,10.310937,0.294131,20.621874
99,1554.589099,2.208719,2.296425,0.087705,2.252572,0.043853,4.505144
100,1554.589099,14.388415,15.056694,0.668279,14.722555,0.334139,29.445109
101,1554.589099,19.574585,21.132429,1.557844,20.353507,0.778922,40.707014
102,1554.589099,1.497547,2.764596,1.267049,2.131071,0.633524,4.262142
103,1554.589099,17.698761,24.108389,6.409628,20.903575,3.204814,41.80715
104,777.294549,40.410057,40.410057,0,40.410057,0,40.410057
105,1554.589099,1.309637,2.435563,1.125926,1.8726,0.562963,3.7452
106,1554.589099,2.435563,4.134963,1.6994,3.285263,0.8497,6.570526
107,1554.589099,6.878843,11.25476,4.375916,9.066802,2.187958,18.133603
108,777.294549,2.054204,2.054204,0,2.054204,0,2.054204
109,1554.589099,4.134963,4.72599,0.591027,4.430477,0.295514,8.860953
110,777.294549,7.018521,7.018521,0,7.018521,0,7.018521
111,1554.589099,2.9264,3.245898,0.319498,3.086149,0.159749,6.172298
112,1554.589099,0.513758,0.812289,0.298532,0.663023,0.149266,1.326047
113,1554.589099,2.296425,2.764596,0.468171,2.53051,0.234085,5.06102
114,1554.589099,3.787345,4.366134,0.578789,4.076739,0.289394,8.153479
115,1554.589099,2.054204,2.296425,0.24222,2.175315,0.12111,4.350629
116,777.294549,8.450375,8.450375,0,8.450375,0,8.450375
117,777.294549,3.345572,3.345572,0,3.345572,0,3.345572
118,1554.589099,9.714684,15.898788,6.184104,12.806736,3.092052,25.613473
119,1554.589099,6.793604,7.752532,0.958928,7.273068,0.479464,14.546136
120,1554.589099,18.522642,18.792091,0.269449,18.657367,0.134725,37.314734
121,1554.589099,4.410893,4.542484,0.131591,4.476688,0.065795,8.953377
122,777.294549,9.563083,9.563083,0,9.563083,0,9.563083
123,1554.589099,5.187318,6.41065,1.223332,5.798984,0.611666,11.597969
124,1554.589099,4.642212,6.726532,2.084319,5.684372,1.04216,11.368744
125,1554.589099,7.677395,7.949257,0.271862,7.813326,0.135931,15.626652
126,777.294549,2.642924,2.642924,0,2.642924,0,2.642924
127,1554.589099,1.851784,3.923451,2.071667,2.887617,1.035833,5.775234
128,1554.589099,8.304935,8.304935,0,8.304935,0,16.609871
129,777.294549,16.194653,16.194653,0,16.194653,0,16.194653
130,1554.589099,9.721218,9.818662,0.097444,9.76994,0.048722,19.53988
131,1554.589099,2.117369,2.567137,0.449768,2.342253,0.224884,4.684506
132,1554.589099,6.32913,15.088594,8.759464,10.708862,4.379732,21.417725
133,1554.589099,7.949257,8.013705,0.064448,7.981481,0.032224,15.962962
134,777.294549,10.229357,10.229357,0,10.229357,0,10.229357
135,777.294549,0.812289,0.812289,0,0.812289,0,0.812289
136,1554.589099,2.054204,2.208719,0.154515,2.131462,0.077257,4.262924
