Site,Layer,Material,Method,Lab Code,Age,SD,Obs,Reference
Gruta da Oliveira,18,Burnt bone,AMS,GrA-29385,41960,330,,Angelucci e Zilhão 2009
Gruta da Oliveira,Cone Moustierense,Equus sp. (dente),U-Th,SMU-247E1,70250,9000,,Angelucci e Zilhão 2009
Gruta da Oliveira,Cone Moustierense,Equus sp. (dente),U-Th,SMU-308-247E2,53000,-1.056603774,Second measurement of SMU-247,Angelucci e Zilhão 2009
Gruta do Caldeirão,K topo (J6),Cervus,AMS,OxA-5541,21255,159,"Low collagen (0,32%N;366C;0,53%H)",Zilhão 1993
Gruta do Caldeirão,K base (k5),Capra,AMS,OxA-5521,26069,293,"0,32%N;2,39C",Zilhão 2000
Gruta do Caldeirão,K topo,Cervus,AMS,OxA-1941,31358,633,,Zilhão 1993
Gruta do Escoural,Sondagem 3a (90-100 cm),Bos (tooth),U-Th,SMU- 248,26400,-1.1,Low uranium content,Zilhão 2000
Gruta do Escoural,Sondagem 3a (80-90 cm),Cervus (dente),U-Th,SMU-249,39800,-1.111111111,"Low urium content (3,4%)",Zilhão 2000
Gruta do Escoural,Sondagem 3a (60-70 cm),Equus (dente),U-Th,SMU-250,48900,-1.054545455,,Zilhão 2000
Gruta Nova da Columbeira,7 (=16),Carbonated hearth,C14,Gif-2703,26400,700,,Zilhão 2000
Gruta Nova da Columbeira,7,Tooth,U-Th,SMU-235E1,35876,-0.767192199,,Zilhão 2000
Gruta Nova da Columbeira,7,Tooth,U-Th,SMU-238E1,54365,-0.807992734,,Zilhão 2000
Gruta Nova da Columbeira,8(=20),Carbonated hearth,C14,Gif-2704,28900,950,,Zilhão 2000
Gruta Nova da Columbeira,8,Tooth,U-Th,SMU-236E1,60927,-0.771493722,,Zilhão 2000
Gruta Nova da Columbeira,8,Tooth,U-Th,SMU-236E1,101487,-0.686814857,,Zilhão 2000
Lapa dos Furos,4,Helix nemoralis,C14,ICEN-473,38697,1518,Below the archaeological level,"Straus, et al. 1993"
Lapa dos Furos,4,Breccia [Helix sp],C14,ICEN-472,34030,1267,Sterile (pre-Mousterian),"Straus, et al. 1993"
Mira Nascente,MN2,Sediment,OSL,UIC-1875,36035,2750,,Benedetti et al. 2009
Mira Nascente,MN2,Sediment,OSL,UIC-1863,33905,2690,,Benedetti et al. 2009
Mira Nascente,MN3b,Sediment,OSL,UCI-1864,40450,2980,,Benedetti et al. 2009
Mira Nascente,MN3c,Sediment,OSL,UCI-1923,34300,2630,,Benedetti et al. 2009
Mira Nascente,MN4,Sediment,OSL,UIC-1868,>110050,8460,,Benedetti et al. 2009
Mira Nascente,MN5,Sediment,OSL,UIC-2065,150920,12575,,Benedetti et al. 2009
Mira Nascente,MN3a,Charcoal,AMS,Beta-234375,42175,461,,Benedetti et al. 2009
Mira Nascente,MN3a,Soil organic matter,AMS,Beta-208223,20628,292,,Benedetti et al. 2009
Mira Nascente,MN3b,Charred stump,,Beta-208224,26110,499,,Benedetti et al. 2009
Mira Nascente,MN3c,charcoal,,Beta-234376,47717,311,,Benedetti et al. 2009
Mira Nascente,MN3C,charcoal,,Beta-208225,40744,1025,,Benedetti et al. 2009
Pedreira de Salmeas,1,Bone,C14,ICEN-366,29890,"+1890+1,130/-130130-980",Mixed level,"Straus, et al. 1993"
Pêgo do Diabo,3,Bone,C14,ICEN-491,21973,689,Impure collagen,Zilhão 2000
Pêgo do Diabo,2 e 3,Bone,AMS,OxA-15499,34900,1000,,Zilhão et al. 2010
Pêgo do Diabo,2 e 3 ,(Equus sp.) dente,AMS,OxA-15004,38750,650,,Zilhão et al. 2010
Praia Rei Cortiço,PC2b,Sediment,OSL,UIC-2399,15060,980,,Benedetti et al. 2009
Praia Rei Cortiço,PC4,Sediment,OSL,UIC-2398,101010,7870,,Benedetti et al. 2009
Praia Rei Cortiço,PC2a,,,Beta-234368,4448,56,,Benedetti et al. 2009
Praia Rei Cortiço,PC5b,charcoal,,UGAMS-3254,50536,1854,,Benedetti et al. 2009
Praia Rei Cortiço,PC5c,charcoal,,UGAMS-3255,>49600,NA,,Benedetti et al. 2009
Praia Rei Cortiço,PC5c,charcoal,,UGAMS-3912,53781,2055,,Benedetti et al. 2009
Praia Rei Cortiço,PC5c,charcoal,,UGAMS-3913,>49600,NA,,Benedetti et al. 2009
Salemas [gruta],Nível inferior,Bone,C14,ICEN-361,30696,1142,,Raposo 1995
Salemas [gruta],Nível inferior,Bone,C14,ICEN-371,>29200,NA,,Raposo 1995
Salemas [gruta],Nível inferior [1],Bone,C14,ICEN-366,33632,1180,,Raposo 1995
Salemas[algar],T.V.b,Bone,C14,ICEN-379,28118,924,,Zilhão 2000
Salemas[algar],T.V.b,Bone,C14,ICEN-384,24090,533,,Zilhão 2000
Salemas[algar],T.V.b,Bone,C14,ICEN-383,27457,1127,,Zilhão 2000
Salemas[algar],T.V.b,Bone,C14,ICEN-384[!],28118,924,,Zilhão 2000
Santo Antão do Tojal,2,Elephas (osso),U-Th,SMU-305,81900,-1.052631579,,Raposo 1995
Vale do Forno 8,VF01,Sediment,TL,,127000,#NAME?,,Mozzi et al. 2000
Vale do Forno 8,VF02,Sediment,TL,,119000,#NAME?,,Mozzi et al. 2000
Vale do Forno 8,VF05,Sediment,TL,,117000,#NAME?,,Mozzi et al. 2000
Vale do Forno 8,VF06,Sediment,TL,,>124000,NA,,Mozzi et al. 2000
Vilas Ruivas,B,Sediment,TL,BM-VRU1,51000,-0.108333333,Average of two results,Raposo 1995
Vilas Ruivas,,,,,54000,-1.090909091,,Raposo 1995
Vilas Ruivas,B,Sediment,TL,BM-VRU2,68000,-1.346153846,,Raposo 1995
Salto do Boi,GFU5,Sediment,OSL,172219,80300,3600,,
Salto do Boi,GFU5,Sediment,OSL,172206,51000,2400,,
Salto do Boi,GFU5,Sediment,OSL,172207,49900,2700,,
Salto do Boi,GFU5,Sediment,OSL,172208,43900,2100,,
Salto do Boi,GFU5,Sediment,OSL,172209,42900,1900,,
